app_edge_0,app_edge_4,app_edge_1,app_edge_2,app_edge_5,app_edge_3,date
100.0,10.0,100.0,100.0,10.0,100.0,27/12/2022 10:00:28
100.0,10.0,100.0,100.0,10.0,100.0,27/12/2022 10:01:49
0.0,0.0,0.0,0.0,0.0,0.0,27/12/2022 10:02:39
100.0,10.0,100.0,100.0,10.0,100.0,27/12/2022 10:02:39
100.0,10.0,100.0,100.0,10.0,100.0,27/12/2022 10:05:15
0.0,0.0,0.0,0.0,0.0,0.0,27/12/2022 10:06:56
0.0,0.0,0.0,0.0,0.0,0.0,27/12/2022 10:08:02
