date,network_node_0,compute_node_0,network_node_1,compute_node_1
27/12/2022 10:00:28,0,46.62,0,54.44
27/12/2022 10:01:49,0,46.62,0,54.44
27/12/2022 10:02:39,0,46.62,0,0.0
27/12/2022 10:02:39,0,94.49,0,59.75
27/12/2022 10:05:15,0,47.86,0,59.75
27/12/2022 10:06:56,0,0.0,0,59.75
27/12/2022 10:08:02,0,0.0,0,0.0
